geography,geography_type,quarter,year,quarter_number,quarter_index,delinquency_rate_pct
Moncton,cma,2022Q1,2022,1,8089,0.19
Moncton,cma,2022Q2,2022,2,8090,0.15
Moncton,cma,2022Q3,2022,3,8091,0.16
Moncton,cma,2022Q4,2022,4,8092,0.15
Moncton,cma,2023Q1,2023,1,8093,0.13
Moncton,cma,2023Q2,2023,2,8094,0.11
Moncton,cma,2023Q3,2023,3,8095,0.16
Moncton,cma,2023Q4,2023,4,8096,0.21
Moncton,cma,2024Q1,2024,1,8097,0.25
Moncton,cma,2024Q2,2024,2,8098,0.26
Moncton,cma,2024Q3,2024,3,8099,0.23
Moncton,cma,2024Q4,2024,4,8100,0.18
Moncton,cma,2025Q1,2025,1,8101,0.17
Moncton,cma,2025Q2,2025,2,8102,0.16
Moncton,cma,2025Q3,2025,3,8103,0.19
Moncton,cma,2025Q4,2025,4,8104,0.21
Montréal,cma,2012Q3,2012,3,8051,0.33
Montréal,cma,2012Q4,2012,4,8052,0.33
Montréal,cma,2013Q1,2013,1,8053,0.35
Montréal,cma,2013Q2,2013,2,8054,0.33
Montréal,cma,2013Q3,2013,3,8055,0.32
Montréal,cma,2013Q4,2013,4,8056,0.33
Montréal,cma,2014Q1,2014,1,8057,0.35
Montréal,cma,2014Q2,2014,2,8058,0.34
Montréal,cma,2014Q3,2014,3,8059,0.35
Montréal,cma,2014Q4,2014,4,8060,0.37
Montréal,cma,2015Q1,2015,1,8061,0.39
Montréal,cma,2015Q2,2015,2,8062,0.38
Montréal,cma,2015Q3,2015,3,8063,0.38
Montréal,cma,2015Q4,2015,4,8064,0.39
Montréal,cma,2016Q1,2016,1,8065,0.4
Montréal,cma,2016Q2,2016,2,8066,0.38
Montréal,cma,2016Q3,2016,3,8067,0.37
Montréal,cma,2016Q4,2016,4,8068,0.34
Montréal,cma,2017Q1,2017,1,8069,0.35
Montréal,cma,2017Q2,2017,2,8070,0.34
Montréal,cma,2017Q3,2017,3,8071,0.31
Montréal,cma,2017Q4,2017,4,8072,0.28
Montréal,cma,2018Q1,2018,1,8073,0.29
Montréal,cma,2018Q2,2018,2,8074,0.29
Montréal,cma,2018Q3,2018,3,8075,0.29
Montréal,cma,2018Q4,2018,4,8076,0.31
Montréal,cma,2019Q1,2019,1,8077,0.3
Montréal,cma,2019Q2,2019,2,8078,0.28
Montréal,cma,2019Q3,2019,3,8079,0.28
Montréal,cma,2019Q4,2019,4,8080,0.27
Montréal,cma,2020Q1,2020,1,8081,0.26
Montréal,cma,2020Q2,2020,2,8082,0.24
Montréal,cma,2020Q3,2020,3,8083,0.25
Montréal,cma,2020Q4,2020,4,8084,0.2
Montréal,cma,2021Q1,2021,1,8085,0.19
Montréal,cma,2021Q2,2021,2,8086,0.16
Montréal,cma,2021Q3,2021,3,8087,0.15
Montréal,cma,2021Q4,2021,4,8088,0.13
Montréal,cma,2022Q1,2022,1,8089,0.12
Montréal,cma,2022Q2,2022,2,8090,0.1
Montréal,cma,2022Q3,2022,3,8091,0.09
Montréal,cma,2022Q4,2022,4,8092,0.1
Montréal,cma,2023Q1,2023,1,8093,0.09
Montréal,cma,2023Q2,2023,2,8094,0.1
Montréal,cma,2023Q3,2023,3,8095,0.1
Montréal,cma,2023Q4,2023,4,8096,0.13
Montréal,cma,2024Q1,2024,1,8097,0.15
Montréal,cma,2024Q2,2024,2,8098,0.15
Montréal,cma,2024Q3,2024,3,8099,0.15
Montréal,cma,2024Q4,2024,4,8100,0.16
Montréal,cma,2025Q1,2025,1,8101,0.17
Montréal,cma,2025Q2,2025,2,8102,0.16
Montréal,cma,2025Q3,2025,3,8103,0.16
Montréal,cma,2025Q4,2025,4,8104,0.16
Oshawa,cma,2012Q3,2012,3,8051,0.37
Oshawa,cma,2012Q4,2012,4,8052,0.32
Oshawa,cma,2013Q1,2013,1,8053,0.27
Oshawa,cma,2013Q2,2013,2,8054,0.26
Oshawa,cma,2013Q3,2013,3,8055,0.26
Oshawa,cma,2013Q4,2013,4,8056,0.27
Oshawa,cma,2014Q1,2014,1,8057,0.25
Oshawa,cma,2014Q2,2014,2,8058,0.24
Oshawa,cma,2014Q3,2014,3,8059,0.24
Oshawa,cma,2014Q4,2014,4,8060,0.21
Oshawa,cma,2015Q1,2015,1,8061,0.23
Oshawa,cma,2015Q2,2015,2,8062,0.18
Oshawa,cma,2015Q3,2015,3,8063,0.21
Oshawa,cma,2015Q4,2015,4,8064,0.18
Oshawa,cma,2016Q1,2016,1,8065,0.17
Oshawa,cma,2016Q2,2016,2,8066,0.14
Oshawa,cma,2016Q3,2016,3,8067,0.13
Oshawa,cma,2016Q4,2016,4,8068,0.14
Oshawa,cma,2017Q1,2017,1,8069,0.14
Oshawa,cma,2017Q2,2017,2,8070,0.13
Oshawa,cma,2017Q3,2017,3,8071,0.14
Oshawa,cma,2017Q4,2017,4,8072,0.15
Oshawa,cma,2018Q1,2018,1,8073,0.12
Oshawa,cma,2018Q2,2018,2,8074,0.1
Oshawa,cma,2018Q3,2018,3,8075,0.09
Oshawa,cma,2018Q4,2018,4,8076,0.13
Oshawa,cma,2019Q1,2019,1,8077,0.12
Oshawa,cma,2019Q2,2019,2,8078,0.12
Oshawa,cma,2019Q3,2019,3,8079,0.14
Oshawa,cma,2019Q4,2019,4,8080,0.13
Oshawa,cma,2020Q1,2020,1,8081,0.13
Oshawa,cma,2020Q2,2020,2,8082,0.14
Oshawa,cma,2020Q3,2020,3,8083,0.13
Oshawa,cma,2020Q4,2020,4,8084,0.12
Oshawa,cma,2021Q1,2021,1,8085,0.1
Oshawa,cma,2021Q2,2021,2,8086,0.07
Oshawa,cma,2021Q3,2021,3,8087,0.06
Oshawa,cma,2021Q4,2021,4,8088,0.06
Oshawa,cma,2022Q1,2022,1,8089,0.06
Oshawa,cma,2022Q2,2022,2,8090,0.06
Oshawa,cma,2022Q3,2022,3,8091,0.06
Oshawa,cma,2022Q4,2022,4,8092,0.08
Oshawa,cma,2023Q1,2023,1,8093,0.08
Oshawa,cma,2023Q2,2023,2,8094,0.08
Oshawa,cma,2023Q3,2023,3,8095,0.08
Oshawa,cma,2023Q4,2023,4,8096,0.13
Oshawa,cma,2024Q1,2024,1,8097,0.16
Oshawa,cma,2024Q2,2024,2,8098,0.17
Oshawa,cma,2024Q3,2024,3,8099,0.2
Oshawa,cma,2024Q4,2024,4,8100,0.24
Oshawa,cma,2025Q1,2025,1,8101,0.26
Oshawa,cma,2025Q2,2025,2,8102,0.24
Oshawa,cma,2025Q3,2025,3,8103,0.25
Oshawa,cma,2025Q4,2025,4,8104,0.29
Ottawa-Gatineau,cma,2012Q3,2012,3,8051,0.21
Ottawa-Gatineau,cma,2012Q4,2012,4,8052,0.22
Ottawa-Gatineau,cma,2013Q1,2013,1,8053,0.22
Ottawa-Gatineau,cma,2013Q2,2013,2,8054,0.24
Ottawa-Gatineau,cma,2013Q3,2013,3,8055,0.24
Ottawa-Gatineau,cma,2013Q4,2013,4,8056,0.25
Ottawa-Gatineau,cma,2014Q1,2014,1,8057,0.27
Ottawa-Gatineau,cma,2014Q2,2014,2,8058,0.27
Ottawa-Gatineau,cma,2014Q3,2014,3,8059,0.27
Ottawa-Gatineau,cma,2014Q4,2014,4,8060,0.29
Ottawa-Gatineau,cma,2015Q1,2015,1,8061,0.32
Ottawa-Gatineau,cma,2015Q2,2015,2,8062,0.3
Ottawa-Gatineau,cma,2015Q3,2015,3,8063,0.3
Ottawa-Gatineau,cma,2015Q4,2015,4,8064,0.31
Ottawa-Gatineau,cma,2016Q1,2016,1,8065,0.32
Ottawa-Gatineau,cma,2016Q2,2016,2,8066,0.31
Ottawa-Gatineau,cma,2016Q3,2016,3,8067,0.3
Ottawa-Gatineau,cma,2016Q4,2016,4,8068,0.3
Ottawa-Gatineau,cma,2017Q1,2017,1,8069,0.3
Ottawa-Gatineau,cma,2017Q2,2017,2,8070,0.29
Ottawa-Gatineau,cma,2017Q3,2017,3,8071,0.28
Ottawa-Gatineau,cma,2017Q4,2017,4,8072,0.27
Ottawa-Gatineau,cma,2018Q1,2018,1,8073,0.26
Ottawa-Gatineau,cma,2018Q2,2018,2,8074,0.25
Ottawa-Gatineau,cma,2018Q3,2018,3,8075,0.24
Ottawa-Gatineau,cma,2018Q4,2018,4,8076,0.26
Ottawa-Gatineau,cma,2019Q1,2019,1,8077,0.24
Ottawa-Gatineau,cma,2019Q2,2019,2,8078,0.23
Ottawa-Gatineau,cma,2019Q3,2019,3,8079,0.22
Ottawa-Gatineau,cma,2019Q4,2019,4,8080,0.21
Ottawa-Gatineau,cma,2020Q1,2020,1,8081,0.2
Ottawa-Gatineau,cma,2020Q2,2020,2,8082,0.19
Ottawa-Gatineau,cma,2020Q3,2020,3,8083,0.19
Ottawa-Gatineau,cma,2020Q4,2020,4,8084,0.16
Ottawa-Gatineau,cma,2021Q1,2021,1,8085,0.15
Ottawa-Gatineau,cma,2021Q2,2021,2,8086,0.13
Ottawa-Gatineau,cma,2021Q3,2021,3,8087,0.1
Ottawa-Gatineau,cma,2021Q4,2021,4,8088,0.1
Ottawa-Gatineau,cma,2022Q1,2022,1,8089,0.09
Ottawa-Gatineau,cma,2022Q2,2022,2,8090,0.08
Ottawa-Gatineau,cma,2022Q3,2022,3,8091,0.07
Ottawa-Gatineau,cma,2022Q4,2022,4,8092,0.08
Ottawa-Gatineau,cma,2023Q1,2023,1,8093,0.09
Ottawa-Gatineau,cma,2023Q2,2023,2,8094,0.09
Ottawa-Gatineau,cma,2023Q3,2023,3,8095,0.09
Ottawa-Gatineau,cma,2023Q4,2023,4,8096,0.11
Ottawa-Gatineau,cma,2024Q1,2024,1,8097,0.11
Ottawa-Gatineau,cma,2024Q2,2024,2,8098,0.12
Ottawa-Gatineau,cma,2024Q3,2024,3,8099,0.14
Ottawa-Gatineau,cma,2024Q4,2024,4,8100,0.15
Ottawa-Gatineau,cma,2025Q1,2025,1,8101,0.16
Ottawa-Gatineau,cma,2025Q2,2025,2,8102,0.16
Ottawa-Gatineau,cma,2025Q3,2025,3,8103,0.15
Ottawa-Gatineau,cma,2025Q4,2025,4,8104,0.16
Peterborough,cma,2012Q3,2012,3,8051,0.41
Peterborough,cma,2012Q4,2012,4,8052,0.38
Peterborough,cma,2013Q1,2013,1,8053,0.37
Peterborough,cma,2013Q2,2013,2,8054,0.31
Peterborough,cma,2013Q3,2013,3,8055,0.26
Peterborough,cma,2013Q4,2013,4,8056,0.27
Peterborough,cma,2014Q1,2014,1,8057,0.31
Peterborough,cma,2014Q2,2014,2,8058,0.32
Peterborough,cma,2014Q3,2014,3,8059,0.3
Peterborough,cma,2014Q4,2014,4,8060,0.28
Peterborough,cma,2015Q1,2015,1,8061,0.3
Peterborough,cma,2015Q2,2015,2,8062,0.24
Peterborough,cma,2015Q3,2015,3,8063,0.24
Peterborough,cma,2015Q4,2015,4,8064,0.21
Peterborough,cma,2016Q1,2016,1,8065,0.21
Peterborough,cma,2016Q2,2016,2,8066,0.24
Peterborough,cma,2016Q3,2016,3,8067,0.23
Peterborough,cma,2016Q4,2016,4,8068,0.2
Peterborough,cma,2017Q1,2017,1,8069,0.2
Peterborough,cma,2017Q2,2017,2,8070,0.14
Peterborough,cma,2017Q3,2017,3,8071,0.14
Peterborough,cma,2017Q4,2017,4,8072,0.15
Peterborough,cma,2018Q1,2018,1,8073,0.18
Peterborough,cma,2018Q2,2018,2,8074,0.15
Peterborough,cma,2018Q3,2018,3,8075,0.12
Peterborough,cma,2018Q4,2018,4,8076,0.09
Peterborough,cma,2019Q1,2019,1,8077,0.11
Peterborough,cma,2019Q2,2019,2,8078,0.12
Peterborough,cma,2019Q3,2019,3,8079,0.1
Peterborough,cma,2019Q4,2019,4,8080,0.14
Peterborough,cma,2020Q1,2020,1,8081,0.09
Peterborough,cma,2020Q2,2020,2,8082,0.13
Peterborough,cma,2020Q3,2020,3,8083,0.14
Peterborough,cma,2020Q4,2020,4,8084,0.12
Peterborough,cma,2021Q1,2021,1,8085,0.13
Peterborough,cma,2021Q2,2021,2,8086,0.13
Peterborough,cma,2021Q3,2021,3,8087,0.09
Peterborough,cma,2021Q4,2021,4,8088,0.1
Peterborough,cma,2022Q1,2022,1,8089,0.07
Peterborough,cma,2022Q2,2022,2,8090,0.06
Peterborough,cma,2022Q3,2022,3,8091,0.1
Peterborough,cma,2022Q4,2022,4,8092,0.09
Peterborough,cma,2023Q1,2023,1,8093,0.1
Peterborough,cma,2023Q2,2023,2,8094,0.09
Peterborough,cma,2023Q3,2023,3,8095,0.09
Peterborough,cma,2023Q4,2023,4,8096,0.13
Peterborough,cma,2024Q1,2024,1,8097,0.15
Peterborough,cma,2024Q2,2024,2,8098,0.15
Peterborough,cma,2024Q3,2024,3,8099,0.19
Peterborough,cma,2024Q4,2024,4,8100,0.19
Peterborough,cma,2025Q1,2025,1,8101,0.21
Peterborough,cma,2025Q2,2025,2,8102,0.19
Peterborough,cma,2025Q3,2025,3,8103,0.2
Peterborough,cma,2025Q4,2025,4,8104,0.25
Québec City,cma,2012Q3,2012,3,8051,0.14
Québec City,cma,2012Q4,2012,4,8052,0.15
Québec City,cma,2013Q1,2013,1,8053,0.16
Québec City,cma,2013Q2,2013,2,8054,0.15
Québec City,cma,2013Q3,2013,3,8055,0.16
Québec City,cma,2013Q4,2013,4,8056,0.18
Québec City,cma,2014Q1,2014,1,8057,0.18
Québec City,cma,2014Q2,2014,2,8058,0.2
Québec City,cma,2014Q3,2014,3,8059,0.19
Québec City,cma,2014Q4,2014,4,8060,0.23
Québec City,cma,2015Q1,2015,1,8061,0.24
Québec City,cma,2015Q2,2015,2,8062,0.24
Québec City,cma,2015Q3,2015,3,8063,0.23
Québec City,cma,2015Q4,2015,4,8064,0.23
Québec City,cma,2016Q1,2016,1,8065,0.25
Québec City,cma,2016Q2,2016,2,8066,0.25
Québec City,cma,2016Q3,2016,3,8067,0.25
Québec City,cma,2016Q4,2016,4,8068,0.24
Québec City,cma,2017Q1,2017,1,8069,0.24
Québec City,cma,2017Q2,2017,2,8070,0.25
Québec City,cma,2017Q3,2017,3,8071,0.25
Québec City,cma,2017Q4,2017,4,8072,0.25
Québec City,cma,2018Q1,2018,1,8073,0.22
Québec City,cma,2018Q2,2018,2,8074,0.25
Québec City,cma,2018Q3,2018,3,8075,0.24
Québec City,cma,2018Q4,2018,4,8076,0.3
Québec City,cma,2019Q1,2019,1,8077,0.28
Québec City,cma,2019Q2,2019,2,8078,0.28
Québec City,cma,2019Q3,2019,3,8079,0.27
Québec City,cma,2019Q4,2019,4,8080,0.28
Québec City,cma,2020Q1,2020,1,8081,0.28
Québec City,cma,2020Q2,2020,2,8082,0.27
Québec City,cma,2020Q3,2020,3,8083,0.3
Québec City,cma,2020Q4,2020,4,8084,0.25
Québec City,cma,2021Q1,2021,1,8085,0.24
Québec City,cma,2021Q2,2021,2,8086,0.22
Québec City,cma,2021Q3,2021,3,8087,0.2
Québec City,cma,2021Q4,2021,4,8088,0.19
Québec City,cma,2022Q1,2022,1,8089,0.17
Québec City,cma,2022Q2,2022,2,8090,0.15
Québec City,cma,2022Q3,2022,3,8091,0.12
Québec City,cma,2022Q4,2022,4,8092,0.1
Québec City,cma,2023Q1,2023,1,8093,0.11
Québec City,cma,2023Q2,2023,2,8094,0.11
Québec City,cma,2023Q3,2023,3,8095,0.11
Québec City,cma,2023Q4,2023,4,8096,0.12
Québec City,cma,2024Q1,2024,1,8097,0.12
Québec City,cma,2024Q2,2024,2,8098,0.14
Québec City,cma,2024Q3,2024,3,8099,0.13
Québec City,cma,2024Q4,2024,4,8100,0.14
Québec City,cma,2025Q1,2025,1,8101,0.13
Québec City,cma,2025Q2,2025,2,8102,0.11
Québec City,cma,2025Q3,2025,3,8103,0.11
Québec City,cma,2025Q4,2025,4,8104,0.11
Regina,cma,2012Q3,2012,3,8051,0.28
Regina,cma,2012Q4,2012,4,8052,0.3
Regina,cma,2013Q1,2013,1,8053,0.31
Regina,cma,2013Q2,2013,2,8054,0.31
Regina,cma,2013Q3,2013,3,8055,0.25
Regina,cma,2013Q4,2013,4,8056,0.27
Regina,cma,2014Q1,2014,1,8057,0.31
Regina,cma,2014Q2,2014,2,8058,0.26
Regina,cma,2014Q3,2014,3,8059,0.31
Regina,cma,2014Q4,2014,4,8060,0.32
Regina,cma,2015Q1,2015,1,8061,0.38
Regina,cma,2015Q2,2015,2,8062,0.38
Regina,cma,2015Q3,2015,3,8063,0.35
Regina,cma,2015Q4,2015,4,8064,0.4
Regina,cma,2016Q1,2016,1,8065,0.45
Regina,cma,2016Q2,2016,2,8066,0.48
Regina,cma,2016Q3,2016,3,8067,0.46
Regina,cma,2016Q4,2016,4,8068,0.47
Regina,cma,2017Q1,2017,1,8069,0.49
Regina,cma,2017Q2,2017,2,8070,0.51
Regina,cma,2017Q3,2017,3,8071,0.5
Regina,cma,2017Q4,2017,4,8072,0.48
Regina,cma,2018Q1,2018,1,8073,0.53
Regina,cma,2018Q2,2018,2,8074,0.58
Regina,cma,2018Q3,2018,3,8075,0.65
Regina,cma,2018Q4,2018,4,8076,0.59
Regina,cma,2019Q1,2019,1,8077,0.64
Regina,cma,2019Q2,2019,2,8078,0.68
Regina,cma,2019Q3,2019,3,8079,0.63
Regina,cma,2019Q4,2019,4,8080,0.62
Regina,cma,2020Q1,2020,1,8081,0.69
Regina,cma,2020Q2,2020,2,8082,0.73
Regina,cma,2020Q3,2020,3,8083,0.71
Regina,cma,2020Q4,2020,4,8084,0.57
Regina,cma,2021Q1,2021,1,8085,0.57
Regina,cma,2021Q2,2021,2,8086,0.51
Regina,cma,2021Q3,2021,3,8087,0.48
Regina,cma,2021Q4,2021,4,8088,0.48
Regina,cma,2022Q1,2022,1,8089,0.53
Regina,cma,2022Q2,2022,2,8090,0.55
Regina,cma,2022Q3,2022,3,8091,0.57
Regina,cma,2022Q4,2022,4,8092,0.55
Regina,cma,2023Q1,2023,1,8093,0.54
Regina,cma,2023Q2,2023,2,8094,0.5
Regina,cma,2023Q3,2023,3,8095,0.48
Regina,cma,2023Q4,2023,4,8096,0.52
Regina,cma,2024Q1,2024,1,8097,0.51
Regina,cma,2024Q2,2024,2,8098,0.47
Regina,cma,2024Q3,2024,3,8099,0.44
Regina,cma,2024Q4,2024,4,8100,0.45
Regina,cma,2025Q1,2025,1,8101,0.45
Regina,cma,2025Q2,2025,2,8102,0.45
Regina,cma,2025Q3,2025,3,8103,0.45
Regina,cma,2025Q4,2025,4,8104,0.43
Saguenay,cma,2012Q3,2012,3,8051,0.22
Saguenay,cma,2012Q4,2012,4,8052,0.22
Saguenay,cma,2013Q1,2013,1,8053,0.23
Saguenay,cma,2013Q2,2013,2,8054,0.21
Saguenay,cma,2013Q3,2013,3,8055,0.24
Saguenay,cma,2013Q4,2013,4,8056,0.23
Saguenay,cma,2014Q1,2014,1,8057,0.22
Saguenay,cma,2014Q2,2014,2,8058,0.26
Saguenay,cma,2014Q3,2014,3,8059,0.26
Saguenay,cma,2014Q4,2014,4,8060,0.31
Saguenay,cma,2015Q1,2015,1,8061,0.36
Saguenay,cma,2015Q2,2015,2,8062,0.33
Saguenay,cma,2015Q3,2015,3,8063,0.34
Saguenay,cma,2015Q4,2015,4,8064,0.41
Saguenay,cma,2016Q1,2016,1,8065,0.47
Saguenay,cma,2016Q2,2016,2,8066,0.5
Saguenay,cma,2016Q3,2016,3,8067,0.49
Saguenay,cma,2016Q4,2016,4,8068,0.5
Saguenay,cma,2017Q1,2017,1,8069,0.49
Saguenay,cma,2017Q2,2017,2,8070,0.49
Saguenay,cma,2017Q3,2017,3,8071,0.51
Saguenay,cma,2017Q4,2017,4,8072,0.43
Saguenay,cma,2018Q1,2018,1,8073,0.4
Saguenay,cma,2018Q2,2018,2,8074,0.45
Saguenay,cma,2018Q3,2018,3,8075,0.46
Saguenay,cma,2018Q4,2018,4,8076,0.48
Saguenay,cma,2019Q1,2019,1,8077,0.45
Saguenay,cma,2019Q2,2019,2,8078,0.46
Saguenay,cma,2019Q3,2019,3,8079,0.47
Saguenay,cma,2019Q4,2019,4,8080,0.5
Saguenay,cma,2020Q1,2020,1,8081,0.49
Saguenay,cma,2020Q2,2020,2,8082,0.45
Saguenay,cma,2020Q3,2020,3,8083,0.48
Saguenay,cma,2020Q4,2020,4,8084,0.34
Saguenay,cma,2021Q1,2021,1,8085,0.35
Saguenay,cma,2021Q2,2021,2,8086,0.33
Saguenay,cma,2021Q3,2021,3,8087,0.31
Saguenay,cma,2021Q4,2021,4,8088,0.31
Saguenay,cma,2022Q1,2022,1,8089,0.27
Saguenay,cma,2022Q2,2022,2,8090,0.26
Saguenay,cma,2022Q3,2022,3,8091,0.21
Saguenay,cma,2022Q4,2022,4,8092,0.18
Saguenay,cma,2023Q1,2023,1,8093,0.17
Saguenay,cma,2023Q2,2023,2,8094,0.14
Saguenay,cma,2023Q3,2023,3,8095,0.15
Saguenay,cma,2023Q4,2023,4,8096,0.21
Saguenay,cma,2024Q1,2024,1,8097,0.18
Saguenay,cma,2024Q2,2024,2,8098,0.18
Saguenay,cma,2024Q3,2024,3,8099,0.2
Saguenay,cma,2024Q4,2024,4,8100,0.22
Saguenay,cma,2025Q1,2025,1,8101,0.23
Saguenay,cma,2025Q2,2025,2,8102,0.2
Saguenay,cma,2025Q3,2025,3,8103,0.21
Saguenay,cma,2025Q4,2025,4,8104,0.21
Saint John,cma,2012Q3,2012,3,8051,0.5
Saint John,cma,2012Q4,2012,4,8052,0.5
Saint John,cma,2013Q1,2013,1,8053,0.56
Saint John,cma,2013Q2,2013,2,8054,0.65
Saint John,cma,2013Q3,2013,3,8055,0.62
Saint John,cma,2013Q4,2013,4,8056,0.8
Saint John,cma,2014Q1,2014,1,8057,0.76
Saint John,cma,2014Q2,2014,2,8058,0.87
Saint John,cma,2014Q3,2014,3,8059,0.86
Saint John,cma,2014Q4,2014,4,8060,0.75
Saint John,cma,2015Q1,2015,1,8061,0.83
Saint John,cma,2015Q2,2015,2,8062,0.85
Saint John,cma,2015Q3,2015,3,8063,0.83
Saint John,cma,2015Q4,2015,4,8064,0.85
Saint John,cma,2016Q1,2016,1,8065,0.88
Saint John,cma,2016Q2,2016,2,8066,0.76
Saint John,cma,2016Q3,2016,3,8067,0.79
Saint John,cma,2016Q4,2016,4,8068,0.86
Saint John,cma,2017Q1,2017,1,8069,0.72
Saint John,cma,2017Q2,2017,2,8070,0.76
Saint John,cma,2017Q3,2017,3,8071,0.73
Saint John,cma,2017Q4,2017,4,8072,0.72
Saint John,cma,2018Q1,2018,1,8073,0.68
Saint John,cma,2018Q2,2018,2,8074,0.65
Saint John,cma,2018Q3,2018,3,8075,0.58
Saint John,cma,2018Q4,2018,4,8076,0.6
Saint John,cma,2019Q1,2019,1,8077,0.55
Saint John,cma,2019Q2,2019,2,8078,0.55
Saint John,cma,2019Q3,2019,3,8079,0.53
Saint John,cma,2019Q4,2019,4,8080,0.51
Saint John,cma,2020Q1,2020,1,8081,0.52
Saint John,cma,2020Q2,2020,2,8082,0.5
Saint John,cma,2020Q3,2020,3,8083,0.43
Saint John,cma,2020Q4,2020,4,8084,0.34
Saint John,cma,2021Q1,2021,1,8085,0.36
Saint John,cma,2021Q2,2021,2,8086,0.33
Saint John,cma,2021Q3,2021,3,8087,0.25
Saint John,cma,2021Q4,2021,4,8088,0.18
Saint John,cma,2022Q1,2022,1,8089,0.22
Saint John,cma,2022Q2,2022,2,8090,0.2
Saint John,cma,2022Q3,2022,3,8091,0.17
Saint John,cma,2022Q4,2022,4,8092,0.22
Saint John,cma,2023Q1,2023,1,8093,0.18
Saint John,cma,2023Q2,2023,2,8094,0.19
Saint John,cma,2023Q3,2023,3,8095,0.15
Saint John,cma,2023Q4,2023,4,8096,0.17
Saint John,cma,2024Q1,2024,1,8097,0.17
Saint John,cma,2024Q2,2024,2,8098,0.17
Saint John,cma,2024Q3,2024,3,8099,0.19
Saint John,cma,2024Q4,2024,4,8100,0.24
Saint John,cma,2025Q1,2025,1,8101,0.2
Saint John,cma,2025Q2,2025,2,8102,0.16
Saint John,cma,2025Q3,2025,3,8103,0.2
Saint John,cma,2025Q4,2025,4,8104,0.21
Saskatoon,cma,2012Q3,2012,3,8051,0.26
Saskatoon,cma,2012Q4,2012,4,8052,0.28
Saskatoon,cma,2013Q1,2013,1,8053,0.28
Saskatoon,cma,2013Q2,2013,2,8054,0.27
Saskatoon,cma,2013Q3,2013,3,8055,0.26
Saskatoon,cma,2013Q4,2013,4,8056,0.27
Saskatoon,cma,2014Q1,2014,1,8057,0.28
Saskatoon,cma,2014Q2,2014,2,8058,0.25
Saskatoon,cma,2014Q3,2014,3,8059,0.21
Saskatoon,cma,2014Q4,2014,4,8060,0.27
Saskatoon,cma,2015Q1,2015,1,8061,0.29
Saskatoon,cma,2015Q2,2015,2,8062,0.34
Saskatoon,cma,2015Q3,2015,3,8063,0.36
Saskatoon,cma,2015Q4,2015,4,8064,0.38
Saskatoon,cma,2016Q1,2016,1,8065,0.39
Saskatoon,cma,2016Q2,2016,2,8066,0.43
Saskatoon,cma,2016Q3,2016,3,8067,0.48
Saskatoon,cma,2016Q4,2016,4,8068,0.51
Saskatoon,cma,2017Q1,2017,1,8069,0.52
Saskatoon,cma,2017Q2,2017,2,8070,0.55
Saskatoon,cma,2017Q3,2017,3,8071,0.53
Saskatoon,cma,2017Q4,2017,4,8072,0.55
Saskatoon,cma,2018Q1,2018,1,8073,0.52
Saskatoon,cma,2018Q2,2018,2,8074,0.55
Saskatoon,cma,2018Q3,2018,3,8075,0.56
Saskatoon,cma,2018Q4,2018,4,8076,0.57
Saskatoon,cma,2019Q1,2019,1,8077,0.57
Saskatoon,cma,2019Q2,2019,2,8078,0.59
Saskatoon,cma,2019Q3,2019,3,8079,0.61
Saskatoon,cma,2019Q4,2019,4,8080,0.62
Saskatoon,cma,2020Q1,2020,1,8081,0.6
Saskatoon,cma,2020Q2,2020,2,8082,0.56
Saskatoon,cma,2020Q3,2020,3,8083,0.52
Saskatoon,cma,2020Q4,2020,4,8084,0.43
Saskatoon,cma,2021Q1,2021,1,8085,0.44
Saskatoon,cma,2021Q2,2021,2,8086,0.42
Saskatoon,cma,2021Q3,2021,3,8087,0.37
Saskatoon,cma,2021Q4,2021,4,8088,0.35
Saskatoon,cma,2022Q1,2022,1,8089,0.32
Saskatoon,cma,2022Q2,2022,2,8090,0.31
Saskatoon,cma,2022Q3,2022,3,8091,0.34
Saskatoon,cma,2022Q4,2022,4,8092,0.35
Saskatoon,cma,2023Q1,2023,1,8093,0.34
Saskatoon,cma,2023Q2,2023,2,8094,0.28
Saskatoon,cma,2023Q3,2023,3,8095,0.29
Saskatoon,cma,2023Q4,2023,4,8096,0.29
Saskatoon,cma,2024Q1,2024,1,8097,0.33
Saskatoon,cma,2024Q2,2024,2,8098,0.3
Saskatoon,cma,2024Q3,2024,3,8099,0.3
Saskatoon,cma,2024Q4,2024,4,8100,0.32
Saskatoon,cma,2025Q1,2025,1,8101,0.32
Saskatoon,cma,2025Q2,2025,2,8102,0.31
Saskatoon,cma,2025Q3,2025,3,8103,0.25
Saskatoon,cma,2025Q4,2025,4,8104,0.25
Sherbrooke,cma,2012Q3,2012,3,8051,0.31
Sherbrooke,cma,2012Q4,2012,4,8052,0.29
Sherbrooke,cma,2013Q1,2013,1,8053,0.28
Sherbrooke,cma,2013Q2,2013,2,8054,0.3
Sherbrooke,cma,2013Q3,2013,3,8055,0.27
Sherbrooke,cma,2013Q4,2013,4,8056,0.31
Sherbrooke,cma,2014Q1,2014,1,8057,0.3
Sherbrooke,cma,2014Q2,2014,2,8058,0.33
Sherbrooke,cma,2014Q3,2014,3,8059,0.38
Sherbrooke,cma,2014Q4,2014,4,8060,0.39
